title,price,cat_1,cat_2,cat_3,caracteristics,img_ref,target,dealer
"Беговая дорожка UNIX Fit T-1550 PRO (18,5"" TFT)",304890,Беговые дорожки,Электрические беговые дорожки,UNIX,"Тип дорожки:для коммерческого использования Скорость:1.0 - 25.0 км/ч Мощность двигателя:6.5 л.с Shlümdenger Electric (переменный ток AC)Пиковая мощность двигателя:8.5 л.с.Беговое полотно:ортопедическое антискользящее беговое полотно ORTOMAXTM (толщина 3,5 мм) коммерческого класса Размер бегового полотна (Дх Ш):167 х 61 см Регулировка угла наклона:автоматическая Наклон бегового полотна:0 - 25 %Дека:25 мм Система амортизации:12 динамических эластомеров, 1 амортизатор SHO СK-RUNTMИзмерение пульса:сенсорные датчики на поручнях, нагрудный беспроводной кардиодатчик UNIX Fit (в комплекте)Консоль:цветной Touch Screen (TFT дисплей), диагональ 18.5"" (46см)Показания консоли:время, скорость, дистанция, калории, пульс, угол наклона Кол-во программ:49 + 6 Спецификации программ:приложение Smart RUN (1 ручной режим (быстрый старт), 5 пользовательских режимов, 36 предустановленных программ (разминка, аэробная тренировка, жиросжигание, восстановление и подьем в гору, по 6 уровней нагрузки в каждой), целевые тренировки – 4 на время, 4 на расстояние и 4 на расход калорий, 1 пульсозависимая тренировка)Многоязычный интерфейс:русский Интеграция и Мультимедиа:технические показания компьютера - Android О С , процессор 4-х ядерный, Cortex-A9 1.2GH, 512 DDR3 RAM, жесткий диск 10 Г Б; FitShow, приложение Smart RUN, воспроизведение аудио и видео файлов, 4 встроенных динамика 3kW x 4, быстрый доступ к различным приложениям (Facebook, Youtube, Chrome, Netflix); поддержка FitShow - есть;разъемы - Wi-Fi, Bluetooth, USB, AUX; виртуальный ландшафт (встроенный) - есть 6 Питание:сеть 220 Вольт Складывание:нет Габариты (Дх Шх В):в рабочем состоянии 222 х 101 х 160 см; в упаковке из 2 коробок 1)230 х 102 х 53 см; 2)106 х 101 х 33 см Вес:брутто 285 кг Максимальный вес пользователя:250 кг Дополнительные характеристики:транспортировочные ролики, компенсаторы неровностей пола; система смазки бегового полотна - автоматическая; смазка для бегового полотна - есть (силиконовая, 1 шт); подставка для бутылки - есть (2 кармана); энергосбережение - есть (класс А+)Гарантия:1 год, на раму 2 года (сертификаты CE, RoHS)Производитель:UNIX Fit ®Страна изготовления:К Н Р",images/begovye_dorozhki/155_sportdoma_22553.jpeg,begovye_dorozhki,sportdoma
"Беговая дорожка UNIX Fit MX-990 AC (10,1"" TFT)",159890,Беговые дорожки,Электрические беговые дорожки,UNIX,"Тип дорожки:профессиональный Скорость:1.0 - 20.0 км/ч Мощность двигателя:3,5 л.с. Shlümdenger Electric (переменный ток AC)Пиковая мощность двигателя:6,5 л.с.Беговое полотно:двухслойное, антискользящее покрытие (толщина 2.6 мм)Размер бегового полотна (Дх Ш):148 х 58 см Регулировка угла наклона:автоматическая Наклон бегового полотна:0 - 15%Дека:20 мм Система амортизации:10 динамических эластомеров, 2 амортизатора (снижают нагрузку на позвоночник и суставы)Измерение пульса:беспроводной нагрудный кардиодатчик UNIXFIT (в комплекте), сенсорные датчики на поручнях Консоль:цветной Touch Screen (TFT дисплей), диагональ 10.1"" (25см)Показания консоли:время, скорость, дистанция, калории, пульс, угол наклона Кол-во программ:49 + 6 Спецификации программ:приложение Smart RUN (1 ручной режим (быстрый старт), 5 пользовательских режимов, 36 предустановленных программ (разминка, аэробная тренировка, жиросжигание, восстановление и подьем в гору, по 6 уровней нагрузки в каждой), целевые тренировки – 4 на время, 4 на расстояние и 4 на расход калорий, 1 пульсозависимая тренировка)Многоязычный интерфейс:русский Интеграция и Мультимедиа:Android О С , процессор 4-х ядерный, Cortex-A9 1.2GH, 512 DDR3 RAM, жесткий диск 10 Г Б; FitShow, приложение Smart RUN, воспроизведение аудио и видео файлов, 4 встроенных динамика 3kW x 4, быстрый доступ к различным приложениям (Facebook, Youtube, Chrome, Netflix); поддержка FitShow - есть; разъемы - Wi-Fi, Bluetooth, USB, AUX; виртуальный ландшафт (встроенный) - есть 6; интернет - есть Питание:сеть 220 Вольт Складывание:есть Габариты (Дх Шх В):в рабочем состоянии 206 х 90 х 138 см; в сложенном 135 х 90 х 155 см; в упаковке 207 х 97 х 44 см Вес:нетто 95 кг.; брутто 111 кг.Максимальный вес пользователя:170 кг Рама:особопрочная с двухслойной покраской, антикоррозийная обработка Дополнительные характеристики:транспортировочные ролики, подставка под планшет - есть, система охлаждения двигателя - есть (двойная, воздушное охлаждение), подставка для бутылки - есть (2 кармана), система смазки бегового полотна - автоматическая, смазка для бегового полотна - есть (силиконовая, 1 шт), энергосбережение - есть (класс А+)Гарантия:1 год, на раму 2 года (сертификаты CE, RoHS)Производитель:UNIX Fit ®Страна изготовления:К Н Р",images/begovye_dorozhki/156_sportdoma_22554.jpeg,begovye_dorozhki,sportdoma
"Беговая дорожка UNIX Fit MX-980 AC (10,1"" TFT)",144890,Беговые дорожки,Электрические беговые дорожки,UNIX,"Тип дорожки:полупрофессиональная Скорость:1.0 - 20.0 км/ч Мощность двигателя:3,5 л.с. Shlümdenger Electric (переменный ток AC)Пиковая мощность двигателя:6,5 л.с.Беговое полотно:двухслойное антискользящее покрытие (толщина 1.8 мм)Размер бегового полотна (Дх Ш):137,5 х 52 см Регулировка угла наклона:автоматическая Наклон бегового полотна:0 - 18%Дека:19 мм Система амортизации:4 эластомера и 2 Airbag-амортизатора (снижают нагрузку на позвоночник и суставы)Измерение пульса:сенсорные датчики на поручнях, нагрудный беспроводной кардиодатчик UNIX Fit (в комплекте)Консоль:цветной Touch Screen (TFT дисплей), диагональ 10.1"" (25см)Показания консоли:время, скорость, дистанция, калории, пульс, угол наклона Кол-во программ:49 + 6 Спецификации программ:приложение Smart RUN (1 ручной режим (быстрый старт), 5 пользовательских режимов, 36 предустановленных программ (разминка, аэробная тренировка, жиросжигание, восстановление и подьем в гору, по 6 уровней нагрузки в каждой), целевые тренировки – 4 на время, 4 на расстояние и 4 на расход калорий, 1 пульсозависимая тренировка)Многоязычный интерфейс:русский Интеграция и Мультимедиа:Android О С , процессор 4-х ядерный, Cortex-A9 1.2GH, 512 DDR3 RAM, жесткий диск 10 Г Б; FitShow, приложение Smart RUN, воспроизведение аудио и видео файлов, 4 встроенных динамика 3kW x 4, быстрый доступ к различным приложениям (Facebook, Youtube, Chrome, Netflix); поддержка FitShow - есть; разъемы - Wi-Fi, Bluetooth, USB, AUX; виртуальный ландшафт (встроенный) - есть 6; интернет - есть Питание:сеть 220 Вольт Складывание:есть Габариты (Дх Шх В):в рабочем состоянии 183 х 85,5 х 139,5 см; в сложенном 105 х 85,5 х 155,5 см; в упаковке 191 х 92,5 х 49 см Вес:нетто 110 кг.; брутто 118 кг.Максимальный вес пользователя:170 кг Дополнительные характеристики:транспортировочные ролики, подставка под планшет - есть, система охлаждения двигателя - есть (двойная, воздушное охлаждение), подставка для бутылки - есть (2 кармана), система смазки бегового полотна - автоматическая, смазка для бегового полотна - есть (силиконовая, 1 шт), энергосбережение - есть (класс А+); коврик под дорожку (190 х 75 см)Гарантия:1 год, на раму 2 года (сертификаты CE, RoHS)Производитель:UNIX Fit ®Страна изготовления:К Н Р",images/begovye_dorozhki/157_sportdoma_22555.jpeg,begovye_dorozhki,sportdoma
Беговая дорожка UNIX Fit T-1550 PRO (LED),273890,Беговые дорожки,Электрические беговые дорожки,UNIX,"Тип дорожки:профессиональный Скорость:1.0 - 25.0 км/ч Мощность двигателя:6.5 л.с Shlümdenger Electric (переменный ток AC)Пиковая мощность двигателя:8.5 л.с.Беговое полотно:ортопедическое антискользящее беговое полотно ORTOMAXTM (толщина 3,5 мм) коммерческого класса Размер бегового полотна (Дх Ш):167 x 61 см Регулировка угла наклона:автоматическая Наклон бегового полотна:0-25%Дека:25 мм Система амортизации:12 динамических эластомеров, 1 амортизатор SHO СK-RUNTMИзмерение пульса:беспроводной нагрудный кардиодатчик UNIXFITTM (в комплекте), сенсорные датчики на поручнях Консоль:точечный светодиодный LED дисплей, 6 цифровых дисплея Показания консоли:время, скорость, дистанция, угол наклона, калории, пульс Кол-во программ:28 Спецификации программ:25 тренировочных профилей, 1 пульсозависимая программа,1 BODY FAT программа, ручной режим Многоязычный интерфейс:русский Интеграция и Мультимедиа:мультимедиа - есть (2 встроенных динамика мощностью 5 Ватт), разъемы - USB, AUX Питание:сеть 220 Вольт Складывание:нет Габариты (Дх Шх В):в рабочем состоянии 222 х 101 х 160 см; в упаковке из 2 коробок 1)230 х 102 х 53 см; 2)106 х 101 х 33 см Вес:нетто 205 кг.; брутто 240 кг.Максимальный вес пользователя:250 кг Рама:особопрочная с двухслойной покраской, антикоррозийная обработка Дополнительные характеристики:транспортировочные ролики, компенсаторы неровностей пола, система охлаждения двигателя - есть (воздушное охлаждение), подставка под планшет - есть, смазка для бегового полотна - есть (силиконовая), система смазки бегового полотна - автоматическая система распределения смазки LUB-TECTMГарантия:2 года, на раму 5 лет (сертификаты CE, RoHS)Производитель:UNIX Fit ®Страна изготовления:К Н Р",images/begovye_dorozhki/158_sportdoma_22556.jpeg,begovye_dorozhki,sportdoma
Беговая дорожка Smith Fitness ST3.2 (ранее ST600),392400,Беговые дорожки,Электрические беговые дорожки,Smith Fitness,"Тип дорожки:для коммерческого использования Скорость:1-25 км/ч Мощность двигателя:3 л.с. переменного тока AC Размер бегового полотна (Дх Ш):152 x 57 см Регулировка угла наклона:электронная Наклон бегового полотна:0 - 15%Дека:26 мм Система амортизации:есть, TrapSpringTM (амортизаторы особой конструкции)Измерение пульса:сенсорные датчики / кардиопояс (опция)Консоль:LED дисплей с подсветкой Показания консоли:скорость / расстояние / время / наклон / частота пульса / калории / программы Многоязычный интерфейс:английский Интеграция и Мультимедиа:USB, акустика динамики Питание:сеть 220 Вольт Складывание:нет Габариты (Дх Шх В):в рабочем состоянии 211 х 96 х 157 см; в упаковке 216 х 99 х 53 см Вес:нетто 210 кг.; брутто 265 кг.Максимальный вес пользователя:180 кг Рама:усиленная сталь Дополнительные характеристики:транспортировочные ролики, компенсаторы неровностей пола, держатель для бутылки, подставка под планшет Гарантия:на раму - 7 лет, на двигатель - 5 лет, на части: 3 года (cертификаты CE, RoHS, EN957)Производитель:Smith Fitness (Германия)Страна изготовления:Корея",images/begovye_dorozhki/159_sportdoma_22570.jpeg,begovye_dorozhki,sportdoma
Беговая дорожка CardioPower S20,51900,Беговые дорожки,Электрические беговые дорожки,CardioPower,"Тип дорожки:для домашнего использования Скорость:1-16 км/ч Мощность двигателя:2,5 л.с. постоянного тока DC Пиковая мощность двигателя:3,25 л.с.Размер бегового полотна (Дх Ш):130 х 47 см Регулировка угла наклона:механическая Наклон бегового полотна:3 уровня Дека:15 мм Система амортизации:есть, Supreme Shock Cushion Измерение пульса:сенсорные датчики / кардиопояс Bluetooth (опция)Консоль:5"" LCD дисплей с подсветкой Показания консоли:скорость / расстояние / время / наклон / частота пульса / калории / программы Кол-во программ:15 в том числе 12 предустановленных 3 пользовательских Специальные программные возможности:Body Fat Многоязычный интерфейс:английский Интеграция и Мультимедиа:акустика - динамики Питание:сеть 220 Вольт Складывание:есть Габариты (Дх Шх В):в рабочем состоянии 145 х 71 х 124 см; в упаковке 159 х 77 х 26 см Вес:нетто 48 кг.; брутто 55 кг.Максимальный вес пользователя:130 кг Рама:усиленная сталь Дополнительные характеристики:транспортировочные ролики, компенсаторы неровностей пола, держатель для бутылки, подставка под планшет Гарантия:2 года (сертификаты CE, RoHS, EN957)Производитель:CardioPower (Германия)Страна изготовления:К Н Р",images/begovye_dorozhki/160_sportdoma_22632.jpeg,begovye_dorozhki,sportdoma
Беговая дорожка CardioPower ТТ30,64900,Беговые дорожки,Электрические беговые дорожки,CardioPower,"Тип дорожки:для домашнего использования Скорость:0,8 - 14 км/ч Мощность двигателя:2,5 л.с. (постоянный ток DC)Пиковая мощность двигателя:4 л.с.Размер бегового полотна (Дх Ш):130 х 46 см Регулировка угла наклона:нет Дека:15 мм Система амортизации:есть, Supreme Shock Cushion Измерение пульса:нет Консоль:multi window LED+TFT rotation knob с подсветкой Показания консоли:скорость / расстояние / время / наклон / частота пульса / калории / программы Кол-во программ:12 Многоязычный интерфейс:английский Интеграция и Мультимедиа:акустика - динамики Питание:сеть 220 Вольт Складывание:есть Габариты (Дх Шх В):в рабочем состоянии 157 х 79 х 118 см; в сложенном 36 х 79 х 158 см; в упаковке 166,5 х 83,5 х 22,5 см Вес:нетто 48 кг.; брутто 56 кг.Максимальный вес пользователя:120 кг Рама:усиленная сталь Дополнительные характеристики:транспортировочные ролики, компенсаторы неровностей пола Гарантия:2 года (сертификаты CE, RoHS, EN957)Производитель:CardioPower (Германия)Страна изготовления:К Н Р",images/begovye_dorozhki/161_sportdoma_22633.jpeg,begovye_dorozhki,sportdoma
Беговая дорожка CardioPower T40 NEW,72900,Беговые дорожки,Электрические беговые дорожки,CardioPower,"Тип дорожки:для домашнего использования Скорость:1-18 км/ч Мощность двигателя:3,0 л.с. постоянного тока DC Пиковая мощность двигателя:3,75 л.с.Размер бегового полотна (Дх Ш):140 х 48 см Регулировка угла наклона:электронная Наклон бегового полотна:0 - 15%Дека:18 мм Система амортизации:есть, Air Cushion M Измерение пульса:сенсорные датчики / кардиопояс (опция)Консоль:LED дисплей с подсветкой Показания консоли:скорость / расстояние / время / наклон / частота пульса / калории / программы Кол-во программ:14 Спецификации программ:8 встроенных программ тренировки с 8 уровнями нагрузки в каждой, 5 пульсозависимых программ Многоязычный интерфейс:русский / английский Интеграция и Мультимедиа:акустика - динамики Питание:сеть 220 Вольт Складывание:есть Габариты (Дх Шх В):в рабочем состоянии 184 х 76 х 138 см; в сложенном 107 х 76 х 156 см; в упаковке 192 х 72 х 33 см Вес:нетто 78 кг.; брутто 85 кг.Максимальный вес пользователя:150 кг Рама:усиленная сталь Дополнительные характеристики:транспортировочные ролики, компенсаторы неровностей пола, держатель для бутылки, подставка под планшет Гарантия:2 года (сертификаты CE, RoHS, EN957)Производитель:CardioPower (Германия)Страна изготовления:К Н Р",images/begovye_dorozhki/162_sportdoma_22678.jpeg,begovye_dorozhki,sportdoma
Беговая дорожка CardioPower TТ10,45900,Беговые дорожки,Электрические беговые дорожки,CardioPower,"Тип дорожки:для домашнего использования Скорость:1-12 км/ч Мощность двигателя:2.0 л.с. постоянного тока DC Пиковая мощность двигателя:3.0 л.с.Размер бегового полотна (Дх Ш):107 х 40 см Регулировка угла наклона:механическая Наклон бегового полотна:0 - 3%Дека:15 мм Система амортизации:есть, Air Cushion M Измерение пульса:сенсорные датчики на поручнях Консоль:LED дисплей с подсветкой Показания консоли:скорость / расстояние / время / наклон / частота пульса / калории / программы Кол-во программ:8 Спецификации программ:8 предустановленных каждая из которых имеет 8 уровней сложности Специальные программные возможности:Body Fat Многоязычный интерфейс:русский / английский Интеграция и Мультимедиа:Bluetooth динамики Питание:сеть 220 Вольт Складывание:есть Габариты (Дх Шх В):в рабочем состоянии 135 x 68 x 114 см; в сложенном 80 х 68 х 120 см; в упаковке 145 х 70 х 20 см Вес:нетто 42 кг.; брутто 48 кг.Максимальный вес пользователя:120 кг Рама:усиленная сталь Дополнительные характеристики:транспортировочные ролики, компенсаторы неровностей пола, держатель для бутылки, подставка под планшет Гарантия:2 года (сертификаты CE, RoHS, EN957)Производитель:CardioPower (Германия)Страна изготовления:К Н Р",images/begovye_dorozhki/165_sportdoma_22691.jpeg,begovye_dorozhki,sportdoma
Беговая дорожка CardioPower T30 NEW,63900,Беговые дорожки,Электрические беговые дорожки,CardioPower,"Тип дорожки:для домашнего использования Скорость:1-16 км/ч Мощность двигателя:2.5 л.с. постоянного тока DC Пиковая мощность двигателя:3.5 л.с.Размер бегового полотна (Дх Ш):135 х 45 см Регулировка угла наклона:электронная Наклон бегового полотна:0 - 15%Дека:18 мм Система амортизации:есть, Air Cushion M Измерение пульса:сенсорные датчики / кардиопояс Bluetooth (опция)Консоль:LCD дисплей с подсветкой Показания консоли:скорость / расстояние / время / наклон / частота пульса / калории / программы Кол-во программ:18 Спецификации программ:18 в том числе 3 пульсозависимых 12 предустановленных и 3 пользовательских Специальные программные возможности:Body Fat, 3 профиля пользователей Многоязычный интерфейс:русский / английский Интеграция и Мультимедиа:мобильное приложение поддерживает - Zwift / Kinomap, порты - Audio IN minijack 3,5 мм, акустика - Bluetooth динамики Питание:сеть 220 Вольт Складывание:есть Габариты (Дх Шх В):в рабочем состоянии 174 х 75,5 х 135,5 см; в сложенном 108 х 75,5 х 145 см; в упаковке 183 х 77 х 33 см Вес:нетто 65 кг.; брутто 74 кг.Максимальный вес пользователя:135 кг Рама:усиленная сталь Дополнительные характеристики:транспортировочные ролики, компенсаторы неровностей пола, держатель для бутылки, подставка под планшет Гарантия:2 года (сертификаты CE, RoHS, EN957)Производитель:CardioPower (Германия)Страна изготовления:К Н Р",images/begovye_dorozhki/166_sportdoma_22692.jpeg,begovye_dorozhki,sportdoma
Беговая дорожка CardioPower T35 NEW,66900,Беговые дорожки,Электрические беговые дорожки,CardioPower,"Тип дорожки:для домашнего использования Скорость:1-18 км/ч Мощность двигателя:2.75 л.с. постоянного тока DC Пиковая мощность двигателя:3.75 л.с.Размер бегового полотна (Дх Ш):135 х 45 см Регулировка угла наклона:электронная Наклон бегового полотна:0 - 15%Дека:18 мм Система амортизации:есть, Air Cushion M Измерение пульса:сенсорные датчики / кардиопояс Bluetooth (опция)Консоль:LCD дисплей с подсветкой Показания консоли:скорость / расстояние / время / наклон / частота пульса / калории / программы Кол-во программ:19 Спецификации программ:19 в том числе 5 пульсозависимых 8 предустановленных каждая из которых имеет 8 уровней сложности и 3 пользовательских 3 целевых Специальные программные возможности:Body Fat Многоязычный интерфейс:русский / английский Интеграция и Мультимедиа:мобильное приложение поддерживает - Zwift / Kinomap, акустика - Bluetooth динамики Питание:сеть 220 Вольт Складывание:есть Габариты (Дх Шх В):в рабочем состоянии 173 х 75,5 х 138,5 см; в сложенном 110 х 75,5 х 147 см; в упаковке 183 х 77 х 36 см Вес:нетто 67 кг.; брутто 76 кг.Максимальный вес пользователя:140 кг Рама:усиленная сталь Дополнительные характеристики:транспортировочные ролики, компенсаторы неровностей пола, держатель для бутылки, подставка под планшет Гарантия:2 года (сертификаты CE, RoHS, EN957)Производитель:CardioPower (Германия)Страна изготовления:К Н Р",images/begovye_dorozhki/167_sportdoma_22693.jpeg,begovye_dorozhki,sportdoma
"Беговая дорожка PROXIMA Ivetta IPro, Арт. PROT-224",169990,Беговые дорожки,Электрические беговые дорожки,PROXIMA,"Тип дорожки:для домашнего использования Скорость:1-22 км/ч Мощность двигателя:4 л.с. LEESON (С Ш А) переменного тока Пиковая мощность двигателя:5 л.с.Беговое полотно:1,8 мм Размер бегового полотна (Дх Ш):145 х 58 см Регулировка угла наклона:автоматическая Наклон бегового полотна:0 - 15%Дека:18 мм Система амортизации:есть, многозонная IDEAL SOFT BALANCE Измерение пульса:сенсорные датчики; беспроводной нагрудный кардиодатчик (в комплекте)Консоль:15.6""Touch Screen (Android 11)Показания консоли:время, скорость, дистанция, калории, пульс, программы Кол-во программ:12 предустановленных программ, кардиопрограмма, 3 режима Интеграция и Мультимедиа:mp3/доступ к Chrome, facebook, netflix и youtube; USB, AUX, Wi-Fi Питание:сеть 220 Вольт (0,69 к Вт/ч)Складывание:есть Габариты (Дх Шх В):в рабочем состоянии 204 x 93 x 140 см; в упаковке 207 x 97 x 44 см Вес:нетто 111 кг.; брутто 127 кг.Максимальный вес пользователя:180 кг Дополнительные характеристики:транспортировочные ролики, компенсаторы неровностей пола, держатель планшета, автоматическая система смазки бегового полотна Гарантия:2 года (сертификаты CE, Е А С, RoHS)Производитель:Proxima Страна изготовления:Китай",images/begovye_dorozhki/168_sportdoma_22699.jpeg,begovye_dorozhki,sportdoma
Беговая дорожка CardioPower PRO CT200 NEW,279900,Беговые дорожки,Электрические беговые дорожки,CardioPower,"Тип дорожки:для коммерческого использования Скорость:1-25 км/ч Мощность двигателя:4.5 л.с. AC Пиковая мощность двигателя:7.0 л.с.Размер бегового полотна (Дх Ш):163 х 60 см Регулировка угла наклона:электронная Наклон бегового полотна:0 - 15%Дека:25 мм Система амортизации:есть, Multiplex Cushioning System Измерение пульса:сенсорные датчики / кардиопояс (опция)Консоль:10.1"" LED дисплей с подсветкой Показания консоли:скорость / расстояние / время / наклон / частота пульса / калории / программы Кол-во программ:64 (в т.ч. 3 пользовательские, 5 пульсозависимых)Специальные программные возможности:Body Fat Многоязычный интерфейс:английский Интеграция и Мультимедиа:мобильное приложение - есть, мобильное приложение поддерживает - FitShow / Zwift / Kinomap, порты - USB Питание:сеть 220 Вольт Складывание:нет Габариты (Дх Шх В):в рабочем состоянии 201 х 92 х 159 см; в упаковке 214 х 90 х 36 см Вес:нетто 155 кг.; брутто 178 кг.Максимальный вес пользователя:180 кг Рама:усиленная сталь Дополнительные характеристики:транспортировочные ролики, компенсаторы неровностей пола, держатель для бутылки, подставка под планшет Гарантия:24 месяца, срок службы изделия - 5 лет (Сертификаты CE, RoHS, EN957, EAC)Производитель:CardioPower (Германия)Страна изготовления:К Н Р",images/begovye_dorozhki/169_sportdoma_22708.jpeg,begovye_dorozhki,sportdoma
Беговая дорожка CardioPower PRO CT100,199900,Беговые дорожки,Электрические беговые дорожки,CardioPower,"Тип дорожки:для коммерческого использования Скорость:1-25 км/ч Мощность двигателя:3.5 л.с. (AC)Пиковая мощность двигателя:5.5 л.с.Размер бегового полотна (Дх Ш):152 х 55 см Регулировка угла наклона:электронная Наклон бегового полотна:0 -15%Дека:18 мм Система амортизации:есть, Multiplex Cushioning System Измерение пульса:сенсорные датчики / кардиопояс (опция)Консоль:10.1"" LED дисплей с подсветкой Показания консоли:скорость / расстояние / время / наклон / частота пульса / калории / программы Кол-во программ:64 (в т.ч. 3 пользовательские)Специальные программные возможности:Body Fat Многоязычный интерфейс:английский Интеграция и Мультимедиа:порты - USB Питание:сеть 220 Вольт Складывание:нет Габариты (Дх Шх В):в рабочем состоянии 194 х 87.5 х 154.2 см; в упаковке 205 х 93.5 х 37.5 см Вес:нетто 114 кг.; брутто 129 кг.Максимальный вес пользователя:150 кг Рама:усиленная сталь Дополнительные характеристики:транспортировочные ролики, компенсаторы неровностей пола, держатель для бутылки, подставка под планшет Гарантия:24 месяца, срок службы изделия - 5 лет (Сертификаты CE, RoHS, EN957, EAC)Производитель:CardioPower (Германия)Страна изготовления:К Н Р",images/begovye_dorozhki/170_sportdoma_22709.jpeg,begovye_dorozhki,sportdoma
Беговая дорожка CardioPower T15,41900,Беговые дорожки,Электрические беговые дорожки,CardioPower,"Тип дорожки:для домашнего использования Скорость:1-14 км/ч Мощность двигателя:2.0 л.с. постоянного тока DC Пиковая мощность двигателя:3.0 л.с.Размер бегового полотна (Дх Ш):120 х 43 см Регулировка угла наклона:механическая Наклон бегового полотна:3 уровня Дека:15 мм Система амортизации:есть, Air Cushion M Измерение пульса:сенсорные датчики Консоль:LCD дисплей с подсветкой Показания консоли:скорость / расстояние / время / наклон / частота пульса / калории / программы Кол-во программ:8 Спецификации программ:8 предустановленных каждая из которых имеет 8 уровней сложности Специальные программные возможности:Body Fat Многоязычный интерфейс:русский / английский Питание:сеть 220 Вольт Складывание:есть Габариты (Дх Шх В):в рабочем состоянии 162 х 71 х 133 см; в сложенном 85 х 71 х 140 см; в упаковке 169 х 72 х 26 см Вес:нетто 45 кг.; брутто 52 кг.Максимальный вес пользователя:120 кг Рама:усиленная сталь Дополнительные характеристики:транспортировочные ролики, компенсаторы неровностей пола, держатель для бутылки, подставка под планшет Гарантия:2 года (сертификаты CE, RoHS, EN957)Производитель:CardioPower (Германия)Страна изготовления:К Н Р",images/begovye_dorozhki/171_sportdoma_22710.jpeg,begovye_dorozhki,sportdoma
"Беговая дорожка UNIX Fit T-1500 PRO (15,6"" TFT)",314890,Беговые дорожки,Электрические беговые дорожки,UNIX,"Тип дорожки:для коммерческого использования Скорость:1.0 - 22.0 км/ч Мощность двигателя:4,5 л.с. Shlümdenger Electric (переменный ток AC), система охлаждения двигателя - воздушная Пиковая мощность двигателя:8,0 л.с.Беговое полотно:ортопедическое антискользящее беговое полотно ORTOMAXTM (толщина 3 мм) коммерческого класса Размер бегового полотна (Дх Ш):160 х 57 см Регулировка угла наклона:автоматическая Наклон бегового полотна:0 - 18%Дека:23 мм Система амортизации:есть Измерение пульса:сенсорные датчики на поручнях Консоль:цветной Touch Screen (TFT дисплей), диагональ 15,6"" (39см)Показания консоли:время, скорость, дистанция, калории, пульс, угол наклона, шаги Кол-во программ:17 + 10 Спецификации программ:16 видов программ: целевые на время, расстояние, сжигание калорий, холмы, кросс по пересеченной местности, сброс веса, интервальная тренировка, силовая тренировка, подъем в гору и обратно, силовая ходьба, пирамида,тренировка ягодичных мышц, сжигание калорий, 4 вида соревнований: спецназ, олимпийские игры, 3 виртуальных режима, HRC, 10 пользовательских программ Многоязычный интерфейс:русский Интеграция и Мультимедиа:приложения для синхронизации FitShow, Kinomap, ZWIFT, SPAX, FITLOG (подключение через Bluetooth); воспроизведение аудио и видео файлов, 4 встроенных динамика 3kW x 4, быстрый доступ к различным приложениям (Youtube, Chrome); интернет - есть, поддержка FitShow - есть, разъемы - Wi-Fi, Bluetooth, USB; 3 виртуальных ландшафта - есть (встроенных)Питание:сеть 220 Вольт Складывание:нет Габариты (Дх Шх В):в рабочем состоянии 216 х 88 х 162 см; в упаковке 228 х 96 х 68 см (1,49 м3)Вес:нетто 165 кг.; брутто 235 кг.Максимальный вес пользователя:160 кг Рама:особопрочная с двухслойной покраской Дополнительные характеристики:транспортировочные ролики, компенсаторы неровностей пола, подставка для бутылки - (2 кармана), коврик под дорожку (190 х 75 см)Гарантия:1 год, на раму 2 года (сертификаты CE, RoHS)Производитель:UNIX FitTM ®Страна изготовления:К Н Р",images/begovye_dorozhki/173_sportdoma_22749.jpeg,begovye_dorozhki,sportdoma
Беговая дорожка UNIX Fit T-1500 PRO (LED),269890,Беговые дорожки,Электрические беговые дорожки,UNIX,"Тип дорожки:для коммерческого использования Скорость:1.0 - 22.0 км/ч Мощность двигателя:4,5 л.с. Shlümdenger Electric (переменный ток AC), система охлаждения двигателя - воздушная Пиковая мощность двигателя:8,0 л.с.Беговое полотно:ортопедическое антискользящее беговое полотно ORTOMAXTM (толщина 3 мм) коммерческого класса Размер бегового полотна (Дх Ш):160 х 57 см Регулировка угла наклона:автоматическая Наклон бегового полотна:0 - 18%Дека:23 мм Система амортизации:есть Измерение пульса:сенсорные датчики на поручнях Консоль:стикер (4 окна), белая подсветка (LED дисплей)Показания консоли:скорость, калории, время, расстояние, пульс, угол наклона Кол-во программ:24 + 3 Спецификации программ:24 автоматических профилей, 3 пользовательских профиля, программа по сбросу веса, фитнес приложение FitShow и др. для синхронизации с мобильным устройством и записи тренировок Многоязычный интерфейс:английский Интеграция и Мультимедиа:приложения для синхронизации FitShow, Kinomap, ZWIFT, SPAX, FITLOG (подключение через Bluetooth); разъемы - Bluetooth, USB; виртуальный ландшафт - FitShow Питание:сеть 220 Вольт Складывание:нет Габариты (Дх Шх В):в рабочем состоянии 216 х 88 х 162 см; в упаковке 228 х 96 х 68 см (1,49 м3)Вес:нетто 165 кг.; брутто 235 кг.Максимальный вес пользователя:160 кг Рама:особопрочная с двухслойной покраской Дополнительные характеристики:транспортировочные ролики, компенсаторы неровностей пола, подставка для бутылки - (2 кармана), коврик под дорожку (190 х 75 см)Гарантия:1 год, на раму 2 года (сертификаты CE, RoHS)Производитель:UNIX FitTM ®Страна изготовления:К Н Р",images/begovye_dorozhki/174_sportdoma_22750.jpeg,begovye_dorozhki,sportdoma
